Province,Year,x,z,_ID
河南省,2017,0.3835,Central,65
河南省,2018,0.3838,Central,65
山西省,2008,0.3841,Central,71
湖北省,2009,0.3846,Central,295
湖南省,2005,0.3856,Central,186
山西省,2011,0.3858,Central,71
广西壮族自治区,2010,0.3865,Eastern,241
广东省,2005,0.3866,Eastern,286
湖北省,2007,0.3868,Central,260
广西壮族自治区,2005,0.3871,Eastern,166
黑龙江省,2008,0.3875,Central,291
云南省,2018,0.3876,Western,29
湖北省,2011,0.3882,Central,260
山西省,2015,0.3885,Central,71
云南省,2005,0.3889,Western,138
湖北省,2008,0.3892,Central,260
陕西省,2007,0.3896,Western,66
安徽省,2019,0.3897,Central,33
广西壮族自治区,2005,0.3902,Eastern,198
山西省,2019,0.3904,Central,275
宁夏回族自治区,2015,0.3914,Western,56
山西省,2017,0.3918,Central,71
甘肃省,2009,0.3919,Western,102
安徽省,2006,0.3924,Central,179
山西省,2018,0.3926,Central,71
陕西省,2005,0.3927,Western,237
辽宁省,2006,0.393,Eastern,276
黑龙江省,2007,0.3931,Central,291
黑龙江省,2018,0.3934,Central,49
河南省,2010,0.3935,Central,290
贵州省,2009,0.3936,Western,240
山西省,2005,0.394,Central,76
湖北省,2018,0.3948,Central,79
湖北省,2014,0.3952,Central,260
山西省,2019,0.3953,Central,71
四川省,2011,0.3958,Western,104
广西壮族自治区,2010,0.3959,Eastern,204
广东省,2018,0.3961,Eastern,152
贵州省,2018,0.3962,Western,240
河南省,2009,0.3963,Central,290
湖北省,2009,0.3963,Central,260
广西壮族自治区,2011,0.3964,Eastern,204
山西省,2009,0.3976,Central,117
甘肃省,2005,0.3981,Western,203
四川省,2005,0.3992,Western,247
湖南省,2005,0.3994,Central,78
广东省,2018,0.3998,Eastern,8
广西壮族自治区,2005,0.4007,Eastern,239
吉林省,2005,0.401,Central,250
甘肃省,2005,0.4021,Western,35
云南省,2018,0.4021,Western,135
湖南省,2005,0.403,Central,205
山西省,2013,0.4031,Central,71
重庆市,2015,0.4031,Western,262
黑龙江省,2012,0.4032,Central,25
青海省,2008,0.4034,Western,236
广东省,2008,0.4069,Eastern,286
黑龙江省,2010,0.4069,Central,1
甘肃省,2010,0.4073,Western,102
山西省,2005,0.408,Central,280
甘肃省,2007,0.4085,Western,35
陕西省,2006,0.409,Western,268
青海省,2007,0.4093,Western,236
山东省,2005,0.4094,Eastern,227
甘肃省,2019,0.4096,Western,74
陕西省,2007,0.41,Western,237
安徽省,2011,0.4107,Central,178
湖北省,2012,0.4108,Central,260
云南省,2007,0.411,Western,138
重庆市,2012,0.4115,Western,262
安徽省,2009,0.4119,Central,269
广东省,2009,0.4126,Eastern,286
安徽省,2017,0.4128,Central,179
河北省,2011,0.4133,Eastern,111
甘肃省,2017,0.4137,Western,203
河南省,2011,0.4138,Central,290
吉林省,2019,0.4151,Central,250
云南省,2006,0.4154,Western,138
安徽省,2008,0.4154,Central,179
云南省,2009,0.4154,Western,138
广东省,2010,0.4154,Eastern,286
青海省,2014,0.4156,Western,236
河北省,2005,0.4157,Eastern,122
江西省,2006,0.4158,Central,129
辽宁省,2008,0.4158,Eastern,276
贵州省,2010,0.4167,Western,240
湖北省,2010,0.4175,Central,260
山西省,2012,0.4177,Central,71
河南省,2014,0.418,Central,84
山西省,2015,0.4183,Central,275
安徽省,2012,0.4187,Central,178
河南省,2009,0.4192,Central,196
四川省,2009,0.4202,Western,21
河南省,2005,0.4203,Central,128
河南省,2008,0.4206,Central,290
河南省,2009,0.4207,Central,128
吉林省,2005,0.4208,Central,245
四川省,2010,0.4208,Western,21
河北省,2012,0.4208,Eastern,111
陕西省,2006,0.4212,Western,237
新疆维吾尔自治区,2005,0.4213,Western,20
宁夏回族自治区,2012,0.4213,Western,70
安徽省,2013,0.4215,Central,179
陕西省,2007,0.4219,Western,268
宁夏回族自治区,2015,0.4219,Western,70
河南省,2007,0.4222,Central,290
青海省,2009,0.4222,Western,236
安徽省,2012,0.4228,Central,91
黑龙江省,2013,0.4229,Central,1
河北省,2009,0.4233,Eastern,111
黑龙江省,2012,0.4234,Central,291
广东省,2007,0.4236,Eastern,286
河南省,2016,0.4237,Central,290
云南省,2007,0.4239,Western,29
安徽省,2013,0.4239,Central,178
湖北省,2005,0.4245,Central,224
江西省,2005,0.4246,Central,228
安徽省,2016,0.4246,Central,178
云南省,2008,0.4248,Western,138
重庆市,2008,0.4249,Western,262
重庆市,2014,0.4252,Western,262
广西壮族自治区,2012,0.4256,Eastern,204
云南省,2018,0.4259,Western,138
安徽省,2009,0.426,Central,179
辽宁省,2005,0.4261,Eastern,229
云南省,2011,0.4261,Western,14
陕西省,2016,0.4262,Western,268
甘肃省,2017,0.4263,Western,68
安徽省,2014,0.4265,Central,179
甘肃省,2008,0.4266,Western,35
辽宁省,2011,0.4268,Eastern,276
广东省,2018,0.4269,Eastern,200
河北省,2010,0.4276,Eastern,111
宁夏回族自治区,2005,0.4279,Western,70
陕西省,2008,0.4281,Western,66
河南省,2010,0.4282,Central,84
安徽省,2014,0.4286,Central,178
山东省,2005,0.4287,Eastern,189
四川省,2007,0.4289,Western,21
山西省,2015,0.4297,Central,136
甘肃省,2013,0.4298,Western,102
广西壮族自治区,2007,0.43,Eastern,204
山西省,2019,0.4304,Central,137
湖北省,2011,0.4305,Central,295
安徽省,2009,0.4307,Central,178
甘肃省,2012,0.4309,Western,35
贵州省,2019,0.431,Western,240
青海省,2011,0.4314,Western,236
湖北省,2007,0.4317,Central,295
青海省,2010,0.4322,Western,236
陕西省,2008,0.4326,Western,237
宁夏回族自治区,2014,0.4333,Western,56
安徽省,2007,0.4335,Central,178
吉林省,2006,0.4336,Central,250
甘肃省,2015,0.4341,Western,155
山西省,2016,0.4344,Central,275
山西省,2018,0.4346,Central,275
陕西省,2017,0.4351,Western,268
宁夏回族自治区,2007,0.4355,Western,10
湖北省,2015,0.4359,Central,260
河南省,2015,0.4362,Central,84
重庆市,2007,0.4364,Western,262
江西省,2008,0.4364,Central,139
青海省,2015,0.4364,Western,236
云南省,2011,0.4365,Western,138
黑龙江省,2019,0.4371,Central,49
四川省,2019,0.4372,Western,105
陕西省,2009,0.4374,Western,268
广东省,2011,0.4376,Eastern,286
重庆市,2013,0.4378,Western,262
吉林省,2009,0.4382,Central,250
黑龙江省,2011,0.4385,Central,289
甘肃省,2014,0.4386,Western,281
四川省,2019,0.4388,Western,127
湖北省,2005,0.4393,Central,60
广西壮族自治区,2006,0.4396,Eastern,204
吉林省,2018,0.4397,Central,201
湖北省,2013,0.4399,Central,260
广西壮族自治区,2018,0.4404,Eastern,43
河南省,2007,0.4407,Central,84
吉林省,2007,0.4407,Central,250
安徽省,2012,0.4407,Central,179
四川省,2006,0.4408,Western,21
甘肃省,2005,0.4411,Western,113
陕西省,2008,0.4412,Western,268
内蒙古自治区,2005,0.4413,Central,244
河南省,2011,0.4418,Central,196
青海省,2012,0.4419,Western,236
安徽省,2016,0.4419,Central,179
湖北省,2016,0.4421,Central,79
湖南省,2008,0.4427,Central,186
黑龙江省,2011,0.4429,Central,1
河南省,2016,0.443,Central,65
青海省,2006,0.4431,Western,236
河南省,2012,0.4431,Central,290
甘肃省,2018,0.4431,Western,35
四川省,2008,0.4434,Western,21
山西省,2018,0.4434,Central,137
河南省,2005,0.4435,Central,65
安徽省,2011,0.4437,Central,91
内蒙古自治区,2005,0.4438,Central,58
湖北省,2008,0.4442,Central,295
黑龙江省,2010,0.4442,Central,289
甘肃省,2018,0.445,Western,74
湖南省,2005,0.4451,Central,150
云南省,2011,0.4453,Western,29
山西省,2015,0.4456,Central,248
河南省,2008,0.4469,Central,196
江西省,2005,0.447,Central,52
贵州省,2011,0.4471,Western,240
青海省,2013,0.4471,Western,236
湖北省,2008,0.4472,Central,40
河南省,2015,0.4473,Central,103
甘肃省,2011,0.4474,Western,35
山西省,2016,0.4476,Central,136
甘肃省,2015,0.4479,Western,281
安徽省,2015,0.448,Central,178
黑龙江省,2007,0.4486,Central,1
黑龙江省,2009,0.449,Central,1
山东省,2005,0.4491,Eastern,148
广西壮族自治区,2005,0.4492,Eastern,149
安徽省,2018,0.4493,Central,179
云南省,2012,0.4495,Western,133
山西省,2015,0.4498,Central,12
湖南省,2007,0.4505,Central,186
山西省,2007,0.4506,Central,71
安徽省,2009,0.4506,Central,287
辽宁省,2014,0.4509,Eastern,143
河南省,2017,0.4509,Central,290
黑龙江省,2018,0.451,Central,289
云南省,2009,0.4511,Western,29
吉林省,2019,0.4514,Central,146
湖北省,2019,0.4514,Central,79
甘肃省,2017,0.4515,Western,74
吉林省,2005,0.4517,Central,201
黑龙江省,2008,0.4523,Central,1
安徽省,2013,0.4526,Central,91
云南省,2010,0.4527,Western,138
贵州省,2005,0.4529,Western,253
河南省,2009,0.4529,Central,84
河南省,2015,0.4529,Central,65
云南省,2017,0.4529,Western,29
河南省,2018,0.4529,Central,190
广西壮族自治区,2005,0.4536,Eastern,43
甘肃省,2006,0.4536,Western,68
吉林省,2008,0.4538,Central,250
山西省,2012,0.4544,Central,117
安徽省,2019,0.4545,Central,269
甘肃省,2006,0.4546,Western,35
贵州省,2017,0.4547,Western,240
广东省,2006,0.455,Eastern,167
安徽省,2006,0.4551,Central,178
甘肃省,2019,0.4551,Western,155
山西省,2014,0.4562,Central,117
内蒙古自治区,2005,0.4568,Central,99
河南省,2015,0.457,Central,290
黑龙江省,2019,0.4573,Central,289
黑龙江省,2009,0.4574,Central,49
广西壮族自治区,2008,0.4577,Eastern,204
陕西省,2018,0.4584,Western,66
宁夏回族自治区,2005,0.4586,Western,56
广东省,2019,0.4586,Eastern,152
黑龙江省,2011,0.4589,Central,25
贵州省,2013,0.4593,Western,240
湖北省,2008,0.4598,Central,79
广东省,2007,0.4599,Eastern,167
广东省,2018,0.4599,Eastern,182
宁夏回族自治区,2013,0.4601,Western,70
甘肃省,2013,0.4606,Western,281
云南省,2008,0.4616,Western,29
四川省,2018,0.4619,Western,105
辽宁省,2019,0.4619,Eastern,143
山西省,2005,0.4624,Central,12
安徽省,2015,0.4628,Central,179
四川省,2016,0.4629,Western,171
重庆市,2006,0.4632,Western,262
山西省,2015,0.4634,Central,137
广西壮族自治区,2009,0.4635,Eastern,278
甘肃省,2013,0.4635,Western,155
河北省,2005,0.4636,Eastern,255
河南省,2006,0.4636,Central,84
安徽省,2017,0.4641,Central,92
陕西省,2019,0.4641,Western,184
安徽省,2008,0.4642,Central,163
安徽省,2008,0.4643,Central,178
河南省,2014,0.4643,Central,65
河南省,2012,0.4644,Central,103
河南省,2014,0.4644,Central,103
辽宁省,2019,0.4645,Eastern,266
河南省,2014,0.4646,Central,290
安徽省,2010,0.4647,Central,178
河南省,2011,0.4653,Central,84
湖南省,2010,0.4657,Central,186
河北省,2015,0.4657,Eastern,111
宁夏回族自治区,2014,0.466,Western,70
重庆市,2009,0.4662,Western,262
吉林省,2009,0.4663,Central,202
广东省,2012,0.4667,Eastern,200
山西省,2006,0.4672,Central,76
云南省,2011,0.4673,Western,17
河南省,2012,0.4673,Central,84
河南省,2012,0.4675,Central,196
湖南省,2006,0.468,Central,186
辽宁省,2007,0.468,Eastern,142
云南省,2009,0.468,Western,133
江西省,2010,0.4683,Central,139
山西省,2013,0.4683,Central,117
辽宁省,2009,0.4685,Eastern,142
江西省,2005,0.4688,Central,123
甘肃省,2008,0.4688,Western,102
四川省,2018,0.469,Western,171
四川省,2018,0.4691,Western,127
河南省,2013,0.4693,Central,128
河南省,2010,0.4695,Central,196
河北省,2005,0.4697,Eastern,254
广西壮族自治区,2005,0.4698,Eastern,241
山西省,2017,0.4702,Central,275
江西省,2010,0.4705,Central,228
河南省,2012,0.4707,Central,65
云南省,2008,0.4709,Western,133
湖北省,2018,0.4713,Central,260
黑龙江省,2006,0.4714,Central,1
辽宁省,2008,0.4714,Eastern,124
辽宁省,2009,0.4714,Eastern,276
甘肃省,2015,0.4716,Western,35
河南省,2008,0.4719,Central,84
广东省,2005,0.4722,Eastern,23
黑龙江省,2019,0.4723,Central,1
辽宁省,2005,0.4726,Eastern,271
四川省,2017,0.4726,Western,105
黑龙江省,2018,0.4726,Central,1
甘肃省,2017,0.4727,Western,35
贵州省,2012,0.473,Western,240
吉林省,2018,0.4731,Central,250
黑龙江省,2007,0.4732,Central,25
河南省,2008,0.4735,Central,128
云南省,2016,0.4736,Western,14
安徽省,2016,0.4737,Central,92
甘肃省,2009,0.474,Western,35
贵州省,2016,0.4741,Western,240
安徽省,2015,0.4742,Central,92
甘肃省,2019,0.4744,Western,113
湖北省,2007,0.4748,Central,223
河北省,2016,0.475,Eastern,111
甘肃省,2015,0.4751,Western,261
江西省,2009,0.4753,Central,139
黑龙江省,2008,0.4754,Central,297
福建省,2009,0.4755,Eastern,44
湖北省,2008,0.4758,Central,224
广东省,2011,0.4758,Eastern,23
黑龙江省,2009,0.4759,Central,25
河南省,2009,0.4759,Central,194
河南省,2011,0.4759,Central,65
陕西省,2015,0.4762,Western,268
甘肃省,2018,0.4762,Western,113
山东省,2006,0.4766,Eastern,227
河南省,2011,0.4766,Central,128
山西省,2016,0.4766,Central,248
福建省,2005,0.4771,Eastern,298
广西壮族自治区,2005,0.4771,Eastern,39
河南省,2013,0.4771,Central,196
山西省,2017,0.4776,Central,137
吉林省,2007,0.4778,Central,202
云南省,2011,0.4779,Western,135
贵州省,2015,0.4781,Western,85
吉林省,2019,0.4781,Central,245
吉林省,2008,0.4787,Central,202
黑龙江省,2010,0.4787,Central,25
广东省,2010,0.4789,Eastern,167
广东省,2019,0.4793,Eastern,119
广东省,2017,0.4796,Eastern,152
安徽省,2010,0.4798,Central,269
安徽省,2008,0.4799,Central,269
黑龙江省,2010,0.4801,Central,297
河南省,2019,0.4801,Central,84
山西省,2011,0.4802,Central,117
广东省,2014,0.4804,Eastern,200
湖北省,2015,0.4806,Central,295
甘肃省,2019,0.4808,Western,281
辽宁省,2008,0.4809,Eastern,142
贵州省,2014,0.4817,Western,85
广东省,2005,0.4818,Eastern,182
河南省,2013,0.482,Central,290
安徽省,2007,0.4821,Central,163
广东省,2011,0.4822,Eastern,200
甘肃省,2018,0.4822,Western,155
河南省,2014,0.4823,Central,128
黑龙江省,2019,0.4826,Central,297
河南省,2019,0.4829,Central,65
湖北省,2016,0.483,Central,295
辽宁省,2005,0.4831,Eastern,266
云南省,2009,0.4832,Western,17
湖北省,2006,0.4833,Central,260
四川省,2011,0.4834,Western,21
广东省,2010,0.4835,Eastern,23
甘肃省,2013,0.4836,Western,35
四川省,2010,0.4839,Western,87
湖南省,2016,0.4839,Central,186
广东省,2018,0.484,Eastern,162
湖南省,2009,0.4841,Central,186
湖北省,2016,0.4841,Central,40
黑龙江省,2013,0.4846,Central,25
河北省,2014,0.485,Eastern,111
广西壮族自治区,2019,0.4853,Eastern,43
江西省,2017,0.4855,Central,45
湖北省,2010,0.4856,Central,224
湖北省,2008,0.4857,Central,60
河南省,2007,0.4858,Central,128
云南省,2005,0.486,Western,135
四川省,2005,0.4861,Western,171
山西省,2012,0.4861,Central,248
河南省,2017,0.4863,Central,103
湖北省,2012,0.4864,Central,295
河北省,2019,0.4864,Eastern,111
广东省,2017,0.4866,Eastern,8
黑龙江省,2006,0.4867,Central,49
陕西省,2017,0.4868,Western,66
河北省,2013,0.4869,Eastern,111
湖北省,2010,0.4871,Central,223
河南省,2013,0.4871,Central,65
安徽省,2018,0.4872,Central,277
湖北省,2012,0.4874,Central,79
河南省,2017,0.4882,Central,196
黑龙江省,2018,0.4884,Central,297
云南省,2010,0.4885,Western,29
青海省,2016,0.4886,Western,236
黑龙江省,2007,0.4887,Central,297
云南省,2010,0.4887,Western,133
黑龙江省,2017,0.4887,Central,289
辽宁省,2018,0.4887,Eastern,143
山西省,2009,0.4888,Central,248
湖北省,2010,0.4888,Central,79
河南省,2014,0.489,Central,47
黑龙江省,2017,0.4892,Central,49
江西省,2009,0.4893,Central,129
广东省,2018,0.4893,Eastern,119
河南省,2006,0.4894,Central,128
河北省,2008,0.4894,Eastern,111
广东省,2013,0.4896,Eastern,200
广东省,2019,0.4896,Eastern,286
江苏省,2008,0.4897,Eastern,180
河南省,2018,0.4897,Central,103
湖北省,2011,0.4898,Central,224
甘肃省,2014,0.4898,Western,155
河北省,2014,0.49,Eastern,255
甘肃省,2019,0.49,Western,35
湖南省,2014,0.4901,Central,186
河南省,2017,0.4902,Central,190
安徽省,2008,0.4903,Central,287
四川省,2009,0.4905,Western,87
宁夏回族自治区,2009,0.491,Western,70
甘肃省,2017,0.4915,Western,113
江西省,2008,0.4917,Central,22
广东省,2008,0.4917,Eastern,200
黑龙江省,2009,0.4917,Central,297
福建省,2005,0.4919,Eastern,3
广东省,2010,0.492,Eastern,200
山西省,2006,0.4925,Central,117
黑龙江省,2008,0.4925,Central,49
辽宁省,2006,0.4927,Eastern,142
湖北省,2015,0.4928,Central,79
安徽省,2012,0.4929,Central,269
甘肃省,2016,0.4931,Western,113
江西省,2009,0.4932,Central,228
江西省,2018,0.4932,Central,123
山西省,2005,0.4933,Central,136
云南省,2005,0.4933,Western,133
广西壮族自治区,2009,0.4933,Eastern,265
广东省,2006,0.4934,Eastern,286
河北省,2016,0.4935,Eastern,254
辽宁省,2014,0.4936,Eastern,285
河南省,2016,0.4937,Central,103
甘肃省,2009,0.4945,Western,74
云南省,2012,0.4946,Western,138
吉林省,2019,0.4947,Central,202
陕西省,2009,0.4948,Western,66
河南省,2010,0.4951,Central,128
湖北省,2015,0.4951,Central,40
云南省,2017,0.4951,Western,135
广东省,2012,0.4954,Eastern,286
吉林省,2016,0.4959,Central,250
河北省,2018,0.4959,Eastern,28
河南省,2005,0.496,Central,172
广西壮族自治区,2011,0.4961,Eastern,278
山西省,2014,0.4962,Central,76
广西壮族自治区,2012,0.4963,Eastern,278
河南省,2013,0.4963,Central,84
湖北省,2014,0.4964,Central,295
甘肃省,2010,0.4966,Western,35
河南省,2007,0.4969,Central,196
广东省,2018,0.497,Eastern,286
广西壮族自治区,2008,0.4972,Eastern,241
安徽省,2017,0.4972,Central,178
安徽省,2010,0.4974,Central,287
湖北省,2011,0.4975,Central,223
宁夏回族自治区,2018,0.4977,Western,56
湖北省,2017,0.4978,Central,260
河北省,2010,0.4979,Eastern,122
山西省,2018,0.4979,Central,76
河北省,2009,0.498,Eastern,122
山西省,2015,0.498,Central,141
江苏省,2005,0.4981,Eastern,114
江西省,2005,0.4981,Central,7
甘肃省,2010,0.4982,Western,74
辽宁省,2009,0.4983,Eastern,124
辽宁省,2007,0.4984,Eastern,124
陕西省,2009,0.4986,Western,61
河南省,2011,0.499,Central,110
甘肃省,2015,0.499,Western,113
云南省,2005,0.4991,Western,29
广东省,2017,0.4991,Eastern,200
河北省,2018,0.4998,Eastern,111
黑龙江省,2005,0.5002,Central,291
江西省,2015,0.5005,Central,228
四川省,2008,0.5007,Western,87
湖北省,2017,0.5012,Central,79
重庆市,2010,0.5013,Western,262
内蒙古自治区,2019,0.5018,Central,58
广西壮族自治区,2006,0.5021,Eastern,43
江西省,2007,0.5021,Central,22
河南省,2013,0.5021,Central,103
黑龙江省,2012,0.5022,Central,289
湖北省,2009,0.5023,Central,60
湖北省,2007,0.5025,Central,224
河南省,2018,0.5026,Central,84
四川省,2005,0.5027,Western,215
安徽省,2011,0.5028,Central,269
云南省,2006,0.5032,Western,29
陕西省,2011,0.5035,Western,237
浙江省,2015,0.5038,Eastern,219
甘肃省,2016,0.504,Western,35
湖北省,2016,0.5042,Central,260
河南省,2011,0.5043,Central,194
广西壮族自治区,2005,0.5045,Eastern,265
安徽省,2009,0.5045,Central,163
湖北省,2009,0.5049,Central,224
湖南省,2009,0.505,Central,78
四川省,2007,0.5051,Western,87
黑龙江省,2008,0.5052,Central,25
河北省,2009,0.5052,Eastern,254
江西省,2012,0.5053,Central,228
河北省,2016,0.5055,Eastern,255
江西省,2017,0.5056,Central,123
湖北省,2011,0.5057,Central,79
河南省,2012,0.5058,Central,194
湖北省,2017,0.5059,Central,40
安徽省,2018,0.5059,Central,178
河南省,2006,0.5061,Central,196
安徽省,2018,0.5061,Central,33
山东省,2019,0.5061,Eastern,177
河南省,2016,0.5066,Central,5
江苏省,2005,0.5067,Eastern,180
广东省,2008,0.507,Eastern,119
江西省,2009,0.507,Central,22
甘肃省,2018,0.5072,Western,203
河北省,2005,0.5073,Eastern,212
吉林省,2010,0.5079,Central,202
黑龙江省,2005,0.5082,Central,197
江西省,2016,0.5082,Central,228
甘肃省,2017,0.5082,Western,107
福建省,2017,0.5082,Eastern,225
四川省,2017,0.5082,Western,98
黑龙江省,2011,0.5083,Central,49
陕西省,2006,0.5086,Western,66
辽宁省,2011,0.5089,Eastern,124
江西省,2019,0.5089,Central,123
福建省,2008,0.509,Eastern,44
四川省,2011,0.5091,Western,87
福建省,2007,0.5093,Eastern,48
湖南省,2011,0.5093,Central,186
甘肃省,2017,0.5095,Western,155
河北省,2006,0.5096,Eastern,111
湖北省,2005,0.5097,Central,88
陕西省,2012,0.5097,Western,268
辽宁省,2006,0.5098,Eastern,124
湖北省,2007,0.5098,Central,60
湖北省,2012,0.5104,Central,40
山西省,2014,0.5104,Central,275
山东省,2019,0.5104,Eastern,148
河南省,2007,0.5106,Central,194
云南省,2018,0.5108,Western,14
广东省,2009,0.5112,Eastern,119
湖北省,2018,0.5115,Central,224
河南省,2006,0.5116,Central,290
河南省,2011,0.5117,Central,103
山西省,2019,0.5117,Central,280
江西省,2011,0.5119,Central,22
山西省,2010,0.512,Central,280
河南省,2016,0.5124,Central,194
湖北省,2009,0.5125,Central,223
湖北省,2010,0.5126,Central,88
安徽省,2011,0.5128,Central,287
陕西省,2009,0.5129,Western,237
宁夏回族自治区,2009,0.5129,Western,10
安徽省,2005,0.513,Central,287
四川省,2008,0.513,Western,171
甘肃省,2014,0.5133,Western,35
湖北省,2014,0.5133,Central,40
江西省,2018,0.5134,Central,45
广东省,2012,0.5136,Eastern,23
山西省,2019,0.5141,Central,76
江西省,2007,0.5142,Central,139
四川省,2007,0.5143,Western,171
河南省,2013,0.5143,Central,194
四川省,2007,0.5144,Western,208
河北省,2017,0.5145,Eastern,111
山西省,2017,0.5145,Central,76
山西省,2014,0.5147,Central,248
陕西省,2012,0.5148,Western,237
广西壮族自治区,2009,0.5149,Eastern,149
河南省,2012,0.5149,Central,128
江苏省,2007,0.5153,Eastern,180
黑龙江省,2013,0.5156,Central,291
四川省,2019,0.5157,Western,171
湖南省,2009,0.516,Central,256
黑龙江省,2017,0.516,Central,1
内蒙古自治区,2009,0.5161,Central,99
广东省,2007,0.5162,Eastern,182
河南省,2010,0.5162,Central,194
贵州省,2014,0.5162,Western,240
甘肃省,2016,0.5162,Western,155
辽宁省,2014,0.5164,Eastern,124
山东省,2007,0.5165,Eastern,227
江西省,2018,0.5168,Central,52
江西省,2012,0.5169,Central,22
江西省,2011,0.5173,Central,139
福建省,2005,0.5174,Eastern,44
山西省,2019,0.5176,Central,136
山东省,2005,0.5178,Eastern,177
山西省,2011,0.5179,Central,248
江西省,2008,0.518,Central,228
云南省,2007,0.5181,Western,135
陕西省,2010,0.5181,Western,237
甘肃省,2006,0.5182,Western,113
安徽省,2015,0.5182,Central,33
福建省,2007,0.5183,Eastern,44
重庆市,2011,0.5183,Western,262
福建省,2016,0.5185,Eastern,225
广西壮族自治区,2007,0.5186,Eastern,43
山西省,2016,0.5187,Central,76
湖北省,2010,0.5188,Central,40
湖北省,2009,0.5189,Central,40
江西省,2017,0.5192,Central,52
湖北省,2018,0.5192,Central,88
山东省,2019,0.5195,Eastern,169
河南省,2015,0.5196,Central,194
广东省,2009,0.5197,Eastern,200
广东省,2009,0.5199,Eastern,23
湖北省,2006,0.52,Central,60
河南省,2013,0.52,Central,172
甘肃省,2016,0.5202,Western,261
河南省,2009,0.5205,Central,65
江西省,2016,0.5205,Central,52
贵州省,2012,0.5208,Western,253
陕西省,2005,0.5211,Western,66
河南省,2015,0.5211,Central,128
河北省,2019,0.5216,Eastern,254
河北省,2006,0.5217,Eastern,122
云南省,2014,0.5217,Western,14
湖南省,2008,0.522,Central,256
陕西省,2014,0.5223,Western,268
湖北省,2015,0.5233,Central,224
吉林省,2010,0.5234,Central,250
江西省,2011,0.5236,Central,129
山西省,2013,0.5239,Central,76
湖北省,2013,0.524,Central,295
山东省,2005,0.5242,Eastern,169
河南省,2011,0.5244,Central,5
河南省,2010,0.5247,Central,30
湖南省,2007,0.5248,Central,256
河南省,2016,0.5248,Central,84
湖北省,2005,0.5251,Central,40
广西壮族自治区,2008,0.5255,Eastern,43
广东省,2009,0.5255,Eastern,167
山东省,2016,0.5255,Eastern,13
